Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur
"OA","S?ries temporelles annuelles","35","Cabo Verde","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","524.743"
"OA","S?ries temporelles annuelles","35","Cabo Verde","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","549.935"
"OA","S?ries temporelles annuelles","115","Cambodge","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","15521.436"
"OA","S?ries temporelles annuelles","115","Cambodge","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","16486.542"
"OA","S?ries temporelles annuelles","32","Cameroun","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","23298.368"
"OA","S?ries temporelles annuelles","32","Cameroun","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","25876.38"
"OA","S?ries temporelles annuelles","33","Canada","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","36026.676"
"OA","S?ries temporelles annuelles","33","Canada","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","37411.047"
"OA","S?ries temporelles annuelles","40","Chili","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","17969.353"
"OA","S?ries temporelles annuelles","40","Chili","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","18952.038"
"OA","S?ries temporelles annuelles","96","Chine - RAS de Hong-Kong","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","7185.996"
"OA","S?ries temporelles annuelles","96","Chine - RAS de Hong-Kong","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","7436.154"
"OA","S?ries temporelles annuelles","128","Chine - RAS de Macao","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","602.085"
"OA","S?ries temporelles annuelles","128","Chine - RAS de Macao","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","640.445"
"OA","S?ries temporelles annuelles","41","Chine, continentale","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","1406847.87"
"OA","S?ries temporelles annuelles","41","Chine, continentale","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","1433783.686"
"OA","S?ries temporelles annuelles","214","Chine, Taiwan Province de","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","23557.477"
"OA","S?ries temporelles annuelles","214","Chine, Taiwan Province de","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","23773.876"
"OA","S?ries temporelles annuelles","50","Chypre","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","1160.985"
"OA","S?ries temporelles annuelles","50","Chypre","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","1198.575"
"OA","S?ries temporelles annuelles","44","Colombie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","47520.667"
"OA","S?ries temporelles annuelles","44","Colombie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","50339.443"
"OA","S?ries temporelles annuelles","45","Comores","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","777.424"
"OA","S?ries temporelles annuelles","45","Comores","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","850.886"
"OA","S?ries temporelles annuelles","46","Congo","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","4856.095"
"OA","S?ries temporelles annuelles","46","Congo","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","5380.508"
"OA","S?ries temporelles annuelles","48","Costa Rica","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","4847.804"
"OA","S?ries temporelles annuelles","48","Costa Rica","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","5047.561"
"OA","S?ries temporelles annuelles","107","C?te d'Ivoire","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","23226.143"
"OA","S?ries temporelles annuelles","107","C?te d'Ivoire","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","25716.544"
"OA","S?ries temporelles annuelles","98","Croatie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","4232.874"
"OA","S?ries temporelles annuelles","98","Croatie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","4130.304"
"OA","S?ries temporelles annuelles","49","Cuba","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","11324.781"
"OA","S?ries temporelles annuelles","49","Cuba","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","11333.483"
"OA","S?ries temporelles annuelles","279","Cura?ao","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","159.847"
"OA","S?ries temporelles annuelles","279","Cura?ao","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","163.424"
"OA","S?ries temporelles annuelles","54","Danemark","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","5688.695"
"OA","S?ries temporelles annuelles","54","Danemark","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","5771.876"
"OA","S?ries temporelles annuelles","72","Djibouti","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","913.993"
"OA","S?ries temporelles annuelles","72","Djibouti","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","973.56"
"OA","S?ries temporelles annuelles","55","Dominique","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","71.183"
"OA","S?ries temporelles annuelles","55","Dominique","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","71.808"
"OA","S?ries temporelles annuelles","59","?gypte","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","92442.547"
"OA","S?ries temporelles annuelles","59","?gypte","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","100388.073"
"OA","S?ries temporelles annuelles","60","El Salvador","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","6325.124"
"OA","S?ries temporelles annuelles","60","El Salvador","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","6453.553"
"OA","S?ries temporelles annuelles","225","?mirats arabes unis","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","9262.9"
"OA","S?ries temporelles annuelles","225","?mirats arabes unis","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","9770.529"
"OA","S?ries temporelles annuelles","58","?quateur","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","16212.02"
"OA","S?ries temporelles annuelles","58","?quateur","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","17373.662"
"OA","S?ries temporelles annuelles","178","?rythr?e","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","3342.818"
"OA","S?ries temporelles annuelles","178","?rythr?e","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","3497.117"
"OA","S?ries temporelles annuelles","203","Espagne","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","46671.926"
"OA","S?ries temporelles annuelles","203","Espagne","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","46736.776"
"OA","S?ries temporelles annuelles","63","Estonie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","1315.325"
"OA","S?ries temporelles annuelles","63","Estonie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","1325.648"
"OA","S?ries temporelles annuelles","209","Eswatini","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","1104.044"
"OA","S?ries temporelles annuelles","209","Eswatini","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","1148.13"
"OA","S?ries temporelles annuelles","231","?tats-Unis d'Am?rique","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","320878.31"
"OA","S?ries temporelles annuelles","231","?tats-Unis d'Am?rique","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","329064.917"
"OA","S?ries temporelles annuelles","238","?thiopie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","100835.458"
"OA","S?ries temporelles annuelles","238","?thiopie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","112078.73"
"OA","S?ries temporelles annuelles","185","F?d?ration de Russie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","144985.057"
"OA","S?ries temporelles annuelles","185","F?d?ration de Russie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","145872.256"
"OA","S?ries temporelles annuelles","66","Fidji","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","868.627"
"OA","S?ries temporelles annuelles","66","Fidji","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","889.953"
"OA","S?ries temporelles annuelles","67","Finlande","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","5481.122"
"OA","S?ries temporelles annuelles","67","Finlande","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","5532.156"
"OA","S?ries temporelles annuelles","68","France","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","64453.2"
"OA","S?ries temporelles annuelles","68","France","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","65129.728"
"OA","S?ries temporelles annuelles","74","Gabon","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","1947.686"
"OA","S?ries temporelles annuelles","74","Gabon","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","2172.579"
"OA","S?ries temporelles annuelles","75","Gambie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","2085.86"
"OA","S?ries temporelles annuelles","75","Gambie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","2347.706"
"OA","S?ries temporelles annuelles","73","G?orgie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","4024.183"
"OA","S?ries temporelles annuelles","73","G?orgie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","3996.765"
"OA","S?ries temporelles annuelles","81","Ghana","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","27849.205"
"OA","S?ries temporelles annuelles","81","Ghana","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","30417.856"
"OA","S?ries temporelles annuelles","82","Gibraltar","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","33.736"
"OA","S?ries temporelles annuelles","82","Gibraltar","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","33.701"
"OA","S?ries temporelles annuelles","84","Gr?ce","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","10659.75"
"OA","S?ries temporelles annuelles","84","Gr?ce","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","10473.455"
"OA","S?ries temporelles annuelles","86","Grenade","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","109.599"
"OA","S?ries temporelles annuelles","86","Grenade","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","112.003"
"OA","S?ries temporelles annuelles","85","Groenland","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","56.377"
"OA","S?ries temporelles annuelles","85","Groenland","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","56.672"
"OA","S?ries temporelles annuelles","87","Guadeloupe","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","400.255"
"OA","S?ries temporelles annuelles","87","Guadeloupe","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","400.056"
"OA","S?ries temporelles annuelles","88","Guam","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","161.853"
"OA","S?ries temporelles annuelles","88","Guam","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","167.294"
"OA","S?ries temporelles annuelles","89","Guatemala","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","16252.429"
"OA","S?ries temporelles annuelles","89","Guatemala","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","17581.472"
"OA","S?ries temporelles annuelles","90","Guin?e","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","11432.088"
"OA","S?ries temporelles annuelles","90","Guin?e","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","12771.246"
"OA","S?ries temporelles annuelles","61","Guin?e ?quatoriale","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","1168.568"
"OA","S?ries temporelles annuelles","61","Guin?e ?quatoriale","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","1355.986"
"OA","S?ries temporelles annuelles","175","Guin?e-Bissau","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","1737.202"
"OA","S?ries temporelles annuelles","175","Guin?e-Bissau","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","1920.922"
"OA","S?ries temporelles annuelles","91","Guyana","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","767.432"
"OA","S?ries temporelles annuelles","91","Guyana","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","782.766"
"OA","S?ries temporelles annuelles","69","Guyane fran?aise","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","260.999"
"OA","S?ries temporelles annuelles","69","Guyane fran?aise","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","290.832"
"OA","S?ries temporelles annuelles","93","Ha?ti","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","10695.542"
"OA","S?ries temporelles annuelles","93","Ha?ti","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","11263.077"
"OA","S?ries temporelles annuelles","95","Honduras","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","9112.916"
"OA","S?ries temporelles annuelles","95","Honduras","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","9746.117"
"OA","S?ries temporelles annuelles","97","Hongrie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","9777.923"
"OA","S?ries temporelles annuelles","97","Hongrie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","9684.679"
"OA","S?ries temporelles annuelles","264","?le de Man","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","83.234"
"OA","S?ries temporelles annuelles","264","?le de Man","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","84.584"
"OA","S?ries temporelles annuelles","259","?les Anglo-Normandes","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","165.385"
"OA","S?ries temporelles annuelles","259","?les Anglo-Normandes","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","172.259"
"OA","S?ries temporelles annuelles","36","?les Ca?manes","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","61.724"
"OA","S?ries temporelles annuelles","36","?les Ca?manes","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","64.948"
"OA","S?ries temporelles annuelles","47","?les Cook","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","17.586"
"OA","S?ries temporelles annuelles","47","?les Cook","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","17.548"
"OA","S?ries temporelles annuelles","65","?les Falkland (Malvinas)","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","2.834"
"OA","S?ries temporelles annuelles","65","?les Falkland (Malvinas)","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","3.377"
"OA","S?ries temporelles annuelles","64","?les F?ro?","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","48.051"
"OA","S?ries temporelles annuelles","64","?les F?ro?","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","48.678"
"OA","S?ries temporelles annuelles","163","?les Mariannes du Nord","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","55.78"
"OA","S?ries temporelles annuelles","163","?les Mariannes du Nord","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","57.216"
"OA","S?ries temporelles annuelles","127","?les Marshall","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","57.439"
"OA","S?ries temporelles annuelles","127","?les Marshall","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","58.791"
"OA","S?ries temporelles annuelles","25","?les Salomon","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","603.118"
"OA","S?ries temporelles annuelles","25","?les Salomon","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","669.823"
"OA","S?ries temporelles annuelles","224","?les Turques-et-Ca?ques","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","35.981"
"OA","S?ries temporelles annuelles","224","?les Turques-et-Ca?ques","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","38.191"
"OA","S?ries temporelles annuelles","240","?les Vierges am?ricaines","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","104.958"
"OA","S?ries temporelles annuelles","240","?les Vierges am?ricaines","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","104.578"
"OA","S?ries temporelles annuelles","239","?les Vierges britanniques","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","29.152"
"OA","S?ries temporelles annuelles","239","?les Vierges britanniques","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","30.03"
"OA","S?ries temporelles annuelles","243","?les Wallis-et-Futuna","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","12.266"
"OA","S?ries temporelles annuelles","243","?les Wallis-et-Futuna","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","11.432"
"OA","S?ries temporelles annuelles","100","Inde","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","1310152.403"
"OA","S?ries temporelles annuelles","100","Inde","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","1366417.754"
"OA","S?ries temporelles annuelles","101","Indon?sie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","258383.256"
"OA","S?ries temporelles annuelles","101","Indon?sie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","270625.568"
"OA","S?ries temporelles annuelles","102","Iran (R?publique islamique d')","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","78492.215"
"OA","S?ries temporelles annuelles","102","Iran (R?publique islamique d')","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","82913.906"
"OA","S?ries temporelles annuelles","103","Iraq","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","35572.261"
"OA","S?ries temporelles annuelles","103","Iraq","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","39309.783"
"OA","S?ries temporelles annuelles","104","Irlande","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","4652.425"
"OA","S?ries temporelles annuelles","104","Irlande","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","4882.495"
"OA","S?ries temporelles annuelles","99","Islande","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","330.243"
"OA","S?ries temporelles annuelles","99","Islande","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","339.031"
"OA","S?ries temporelles annuelles","105","Isra?l","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","7978.49"
